Valley,Count_SHINE
"Bassenthwaite 
and Borrowdale",1054
Buttermere,162
Coniston,1333
Duddon,570
Ennerdale,254
Eskdale,461
"Grasmere
 and Rydal",255
Haweswater,793
Langdale,327
Thirlmere,263
Ullswater,541
Wasdale,459
Windermere,1091
Derwent ELMS,1133
